id,shortname,description,naive_change,outcomes,attractor_id
S-24,ceremony-lockout,"Operator workflows are not considered — the tool demands a rigid full skill sequence and rejects a-la-carte use, so operators abandon residuality or fake compliance",Make skill steps selectable; enforce residual structure via verify without mandating ceremony order,operator uses residual a-la-carte without being forced through unused skill phases,A-06
S-25,attractor-valence-blind,Operator cannot tell why a stressor hurts the project because attractors lack paired positive and negative pressure — the stressor has nowhere coherent to land,Require each attractor to define positive_state and negative_state; migrate off single-valence attractor classification,operator links each stressor to an attractor that has both positive and negative state pressure,A-09
S-26,matrix-viewport-blind,"The NKP matrix is hard to read at dogfood scale — coupling heat does not read as a heatmap, row/column totals are missing or easy to lose, and headers/row labels scroll off-screen — so operators miss hyperliminal bands, fission candidates, and which forces drive K","matrix show paints true background heat (not digit tint), always shows row/column/grand totals, supports --csv for external sticky viewers, and documents sticky header/label limits of the terminal table (or ships a pager/TUI path when the grid exceeds the viewport)","operator reads coupling density, row/column totals, and force labels without losing orientation in the matrix viewport",A-06
S-27,residue-matrix-shape,"residues.csv is shaped like a normalized database table (id, force_id, component_id, status, notes) — operators cannot read coupling at a glance or edit a force×component cell without the tool; direct spreadsheet modification and review without residual CLI become unrealistic","store residues as a matrix-shaped artifact (force shortnames × component ids, cells = status/notes) with CSV round-trip that remains human-editable; keep append/insert ergonomics via the tool while making eyeball edits match matrix show",operator reads and edits residue coupling as a matrix rather than as opaque database rows,A-04
S-28,lexicon-commit-drift,Operators use conventional commit prefixes (fix:/chore:/refactor:) that carry no project vocabulary — git log drifts from lexicon and components.csv,Add commit-msg hook with lexicon/component validation; block conventional commit types when commit_msg_enforce is true; allow general - override,operator commits omit defined outcome from subjects,A-02
S-29,cli-bypass,"Agent or operator edits residual/ CSVs directly (Python scripts, raw text edits, sed) for operations the residual CLI already supports — bypassing ID generation, idempotency guards, and verify",CLAUDE.md instructs agents to use residual CLI for all data operations; verify detects drift from direct mutation; force_id generation and idempotency remain owned by the tool,operator uses residual add for all force additions; direct CSV mutation is only used for operations the CLI does not support,A-08
S-30,persona-context-pollution,"When persona voices are generated inline alongside the main conversation they read the same context, share the same mental model, and produce shallow concerns that mirror what the operator already thinks — producing no new information and failing to surface real stressor pressure from external viewpoints",Persona walks in later phases use isolated subagents to prevent context pollution; each persona subagent runs staged analysis without reading the main session context,personas are given their own space to develop genuine concerns; context pollution and groupthink-esque effects from shared session context are prevented,A-05
S-31,attractor-mission-conflation,An agent prompted to bootstrap an uninitialized ledger conflates an attractor with the system mission statement — bundling multiple concerns and omitting the negative state — producing a ledger that appears populated but carries no bifurcation signal for stressors to push against,"Bootstrap guidance in skill-data explicitly defines what an attractor is and is not, flags the mission-statement anti-pattern, and requires both positive and negative state before proceeding",operator records attractor with distinct positive and negative state before recording stressors,A-09
S-32,force-component-drift,"A stressor fires but the components listed on it did not need to change — the force-component mapping was anticipated incorrectly. Over time these mismatches accumulate unchecked: the matrix coupling analysis drifts from empirical reality, and no record exists to identify or correct the pattern",Skills prompt recording of which components actually changed when a stressor fires; skill-data surfaces an attractor occurrence log so force-component mappings can be empirically refined over time,operator records actual component changes per stressor occurrence; attractor occurrence logs accumulate for empirical refinement,A-05
S-33,legacy-naive-change-ambiguity,"At time of use, the agent encounters existing records and examples that use naive_change for assumptions, untreated behavior, and mechanistic adjustments interchangeably.","Present field-specific examples that separate environmental force, mechanistic adjustment, desired outcome, and unchecked attractor state.",Agent records a concrete system adjustment under naive_change. Agent leaves desired end states under outcome.,A-11
S-34,component-framed-input,"At time of use, an actor supplies an incident or requirement narrative framed entirely through known components, concealing whether any force originates beyond the architecture iteration ergodic boundary.",Add an optional post-capture ergodic review that uses component terminology to ask whether the force primarily exists beyond the boundary.,Agent identifies the narrative as a component dynamic or asks the actor to identify the force beyond the ergodic boundary before recording a stressor.,A-09
S-35,authority-constrained-residue,"At time of use, an actor identifies a whole-system adjustment that answers a stressor, but authority, ownership, budget, culture, or timing places that adjustment outside current control.","Preserve the preferred whole-system-residue, ask what lies within actor control or influence, and record an actionable interim residue without presenting it as equivalent. Organization/process zig: preserve preferred architecture while distinguishing immediately actionable change.",Actor retains the whole-system-residue as a future architectural direction. Actor records an actionable residue that moves the system toward the desired outcome within current influence.,A-07
S-36,adverse-outcome-convention,"At time of use, an actor brings a risk-analysis convention in which outcome means the adverse consequence of a stressor into residual force capture.","Prompt separately for the system adjustment, desired outcome, and attractor state reached when pressure goes unchecked.",Actor records the desired state preserved under the stressor. Actor uses the attractor negative state to describe unchecked pressure.,A-12
S-37,analytics-majority-collapse-tooling,"A varied audience produces distinct operating contexts and event sequences, but actor-controlled analytics combine them into aggregate measurements that conceal state transitions.",Add contextual and sequential drill-down views to the analytics system.,Actor discovers stressors and attractors concealed by aggregate measurements.,A-13
S-38,analytics-majority-collapse-guidance,"A varied audience produces distinct operating contexts and event sequences, but externally controlled analytics expose only aggregate measurements and the actor cannot alter their collection or presentation.","During a requested landscape review, the skill asks which contexts, sequences, and transitions the aggregates may conceal.",Actor extracts additional force configurations from the available aggregate evidence.,A-13
S-39,frequency-admission-tooling,Actor-controlled analytics rank observations by frequency and suppress less common coherent event sequences.,Add a view that preserves distinct event sequences without applying a frequency admission threshold.,Actor evaluates coherent stressors without requiring observed frequency or probability-framing.,A-13
S-40,frequency-admission-guidance,"Organizational or third-party analytics expose frequency-ranked observations while preventing the actor from changing collection, ranking, or retention.","During a requested analytics review, the skill asks which coherent sequences may be absent from the frequency-ranked evidence.",Actor considers coherent stressors despite limitations in the analytics control plane.,A-13
S-41,id-centric-dialogue,"As the ledger grows, precise agent session memory favors IDs while operator longitudinal memory retains names and concepts, causing ID-only references to break conversational continuity.",Instruct skills to use attractor names and force shortnames conversationally while retaining IDs in executable commands.,Operator follows force and attractor references without external lookup. Agent preserves exact command targeting.,A-14
S-42,environmental-order-drift,"Laws, handbooks, contracts, or established practices change after research is captured, while an actor later consults the superseded material during a walk.","When research is requested, the skill asks whether selected material remains applicable and surfaces conflicting dates or claims for operator judgment.",Actor revises stressors and attractors when current environmental evidence contradicts recorded research.,A-13
S-43,documented-order-restriction,"Authoritative research describes nominal behavior while exceptions and undocumented practices shape the environment, causing documented order to appear exhaustive.","During requested research review, the skill asks what observed or coherent behavior exists outside the selected sources and challenges their use as an admission boundary.",Actor admits coherent stressors that are absent from or contradicted by documented order.,A-13
S-44,research-context-pollution,"An actor requests a broad research review whose volume, conflicts, or irrelevant detail displaces the active force and attractor context from the agent working context.","Before reviewing research, the agent asks which question and material should be examined, then reviews bounded selections without automatically carrying the full corpus forward.",Agent and operator retain shared comprehension of the active walk while selected research informs it.,A-14
S-45,hyperliminal-model-reification,Repeated patterns in research appear stable enough that an actor treats them as a complete predictive model of the hyperliminal and dismisses contradictory configurations as noise.,"During research review, the skill asks what the apparent model fails to explain and preserves coherent contradictions as candidate forces or attractors.",Actor uses patterned evidence without excluding stressors or attractors that contradict the inferred model.,A-13
S-46,landscape-review-decay,"Project work proceeds without a regular cadence of architecture walks. As real-world force configurations evolve between reviews, recorded stressors and attractors remain static and the residual-architecture loses correspondence with its environment.",A non-blocking git hook uses an operator-defined interval to prompt another architecture walk and records when the actor completes or defers it.,Actor routinely revises and extends stressors and attractors as new evidence builds.,A-13
S-47,llm-degradation,"An operator invokes a skill with whatever model is available to them — frontier, mid-tier, local, or open-weight — and that model's capability falls short of the skill's cognitive demands. The failure is visible, not silent, but locating the floor and working around it costs the operator manual effort on every occurrence.",Stress-test each skill against a matrix of degraded/open-weight models pre-release (James-Phoenix floor-finding); encode the discovered floor as skill metadata; lower the floor itself by preferring worked examples over reasoning prose in skill authoring.,operator locates skill floor without manual triage,A-15
S-48,ai-bubble-collapse,"Frontier-tier model access becomes economically inviable — pricing, provider exits, or a broader AI-investment contraction — leaving operators with only slower, less capable, open-weight models. When frontier capability disappears, the procedural burden an LLM agent used to absorb lands on the human operator instead.","Build an agent-optional UX surface (TUI first, web UI as stretch) and author skill variants runnable by lesser agents, so procedural burden doesn't fall entirely on the human when frontier access disappears.",operator completes residual processes without substantial strain or LLM assistance,A-16
S-49,security-restricted-model-access,"Some system architecture environments — air-gapped networks, classified or regulated systems, data-residency-restricted deployments — prohibit outbound access to hosted frontier models entirely for security-policy reasons. Operators inside these environments must accomplish the same cognitive work using only local or approved models, with no path to frontier-tier capability regardless of budget.","Build an agent-optional UX surface (TUI first, web UI as stretch) and author skill variants runnable by lesser agents.",operator completes a skill session using only locally-approved models,A-16
S-50,org-heresy-risk,"An operator is already convinced of residuality's value, but their org's prevailing methodology culture treats upfront stressor/attractor analysis as heretical or waterfall-flavored. Surfacing residuality vocabulary directly risks the operator's standing, so they conceal, dilute, or avoid the method even though they're sold on it.","Translation layer — express naive_change/outcome in the org's native methodology vocabulary (TDD, DDD, Clean/Onion, etc.) rather than exposing residuality jargon directly.",operator presents architecture reasoning without exposing residuality vocabulary,A-17
S-51,anti-documentation-culture,"Engineers whose ethos rejects in-codebase documentation treat @residue:/@stressor: tags as unwelcome clutter — not from skepticism about residuality's value, but from the same standing/cultural-hostility pressure that makes surfacing residuality vocabulary risky elsewhere in the org. Manual annotation never happens in that environment, so tag-based residue tracking is dead on arrival.","whole-system-residue: Support storing residual/ metadata and any code-level annotations on a sidecar git branch orphaned from mainline (Entire.io's approach), so the operator's standing in the org's working branch is never at risk — mainline looks exactly as anti-documentation colleagues expect, while the ledger stays versioned and queryable.",operator maintains a residue ledger without editing the working branch,A-17
S-52,prying-eyes-vengeful-action,"An outsider with motive — a political rival, an executive looking to kill the initiative, an auditor — discovers raw residuality artifacts (walks, attractor language, candid failure narratives) and reads them not neutrally but as ammunition. The danger isn't that the reasoning is unfinished; it's that the observer's locked priors turn even sound reasoning into a weapon against the operator.","Theorize which artifacts are safe for which audiences before any raw ledger content becomes externally visible, routing only vetted translated artifacts into channels a hostile outsider could reach.",operator restricts raw walk artifacts from hostile outsider visibility,A-17
S-53,groupthink-psych-safety,"A walk can satisfy nominal headcount (e.g. P-10's stakeholder + direct-user bar) while a hierarchical or blame-driven team culture suppresses genuine dissent — junior voices defer to senior ones, minority concerns carry social cost, candid failure-mode naming gets punished rather than rewarded. Conversely, a psychologically safe team can still lack headcount or role diversity — everyone present shares the same exposure to the system and simply hasn't seen what a different role would surface. Either gap alone produces a walk that feels thorough — attendance met, atmosphere felt open — but isn't: neither condition alone guarantees recorded stressors reflect the real state space.","Document that headcount and psychological safety are independently necessary and neither is sufficient alone, so operators at least know what genuine coverage requires.","operator's walk achieves both headcount and psychological safety, not one alone",A-18
S-54,ai-model-monoculture,"AI vendors increasingly train on overlapping public corpora and converge through similar RLHF alignment processes. An operator who assigns different personas to different models, expecting genuine perspective divergence, gets convergent reasoning and risk-posture back anyway — the diversity they believe 'multiple models' bought them is illusory, because the vendors themselves are subject to the same competitive and training pressures that narrowed the field to begin with.","Track which model/vendor family backed each persona in personas.csv; verify flags a walk where all personas trace to the same vendor family, surfacing the illusory-diversity case mechanically instead of relying on the operator to notice.",operator's walk draws personas from more than one model vendor family,A-18
S-55,blind-before-synthesis,"Group discussion collapses independent perspectives toward whatever position surfaces first or carries the most social weight, before any of it reaches the ledger — the record ends up looking like consensus even when consensus was never actually tested.","Capture each participant's input in isolation before synthesis, reconciling independent submissions into the shared ledger only afterward; a later TUI/GUI networking layer can support this at scale for human teams.",operator captures each participant's input independently before synthesis,A-18
S-56,adversarial-purpose-validation,"A purpose that reads as safely supporting the positive attractor may, under sustained adversarial pressure, turn out to produce the opposite effect. Most challenges will be trivially overturned, but the walk needs the capacity to catch the ones that aren't.","Assign a devil's-advocate role to at least one persona/participant per walk, explicitly arguing toward the negative attractor regardless of personal belief; record whether each purpose is confirmed or found to invert.",operator's walk records whether each purpose is confirmed or inverted under adversarial argument,A-18
S-57,landscape-growth-recall,"As the ledger grows past what an operator can hold in working memory, coherent longitudinal grasp of the landscape degrades — the operator records duplicate or contradictory forces, or makes decisions blind to what's already there, because re-reading 40+ stressors before every session isn't viable.","A quizzing/spaced-repetition mode (residual quiz?) that periodically Socratically tests operator recall of attractors/stressors/purposes, keeping their mental model synced with the store's growth.",operator recalls the current force landscape without re-reading the store,A-19
S-58,contradictory-tooling-instructions,"Residuality has little presence in model pretraining corpora, so an agent's prior on residual's CLI conventions (cwd-relative storage, config-driven paths) is weak. When other configured instructions for the same agent — e.g. a Cursor rule directing use of nix develop, or a different project's skill/tooling conventions — pull the agent toward a different working context, the agent applies residual commands from the wrong directory without noticing the mismatch, and the target project's ledger data lands in an unrelated repository instead.","Surface the resolved config/storage path (and which project it belongs to) prominently in every residual command's output, so an operator or agent notices immediately when data is about to land somewhere unexpected, rather than discovering it later via stray untracked files.",operator's residual commands resolve to the correct project's storage path,A-09
